(1.72, -14.599)
(1.72, 8.566)
(1.72, -0.312)
(1.73, -15.826)
(1.73, 5.925)
(1.73, -0.332)
(1.74, -15.255)
(1.74, 7.364)
(1.74, -0.323)
(1.75, -16.046)
(1.75, 5.565)
(1.75, -0.335)
(1.76, -14.926)
(1.76, 8.528)
(1.76, -0.319)
(1.77, -16.13)
(1.77, 5.927)
(1.77, -0.338)
(1.78, -15.422)
(1.78, 7.736)
(1.78, -0.327)
(1.79, -16.351)
(1.79, 5.657)
(1.79, -0.342)
(1.8, -15.218)
(1.8, 8.657)
(1.8, -0.325)
(1.81, -16.418)
(1.81, 6.062)
(1.81, -0.344)
(1.82, -15.748)
(1.82, 7.769)
(1.82, -0.334)
(1.83, -16.62)
(1.83, 5.804)
(1.83, -0.347)
(1.84, -15.54)
(1.84, 8.652)
(1.84, -0.332)
(1.85, -16.718)
(1.85, 6.096)
(1.85, -0.35)
(1.86, -15.952)
(1.86, 8.064)
(1.86, -0.339)
(1.87, -16.911)
(1.87, 5.926)
(1.87, -0.353)
(1.88, -15.851)
(1.88, 8.715)
(1.88, -0.338)
(1.89, -17.012)
(1.89, 6.191)
(1.89, -0.356)
(1.9, -16.231)
(1.9, 8.201)
(1.9, -0.345)
(1.91, -17.187)
(1.91, 6.066)
(1.91, -0.359)
(1.92, -16.177)
(1.92, 8.715)
(1.92, -0.345)
(1.93, -17.303)
(1.93, 6.255)
(1.93, -0.362)
(1.94, -16.474)
(1.94, 8.395)
(1.94, -0.35)
(1.95, -17.459)
(1.95, 6.206)
(1.95, -0.365)
(1.96, -16.502)
(1.96, 8.702)
(1.96, -0.351)
(1.97, -17.581)
(1.97, 6.331)
(1.97, -0.368)
(1.98, -16.726)
(1.98, 8.546)
(1.98, -0.355)
(1.99, -17.719)
(1.99, 6.34)
(1.99, -0.371)
(2.0, -16.814)
(2.0, 8.693)
(2.0, -0.357)
(2.01, -17.838)
(2.01, 6.425)
(2.01, -0.373)
(2.02, -16.985)
(2.02, 8.635)
(2.02, -0.361)
(2.03, -17.961)
(2.03, 6.461)
(2.03, -0.376)
(2.04, -17.098)
(2.04, 8.697)
(2.04, -0.363)
(2.05, -18.076)
(2.05, 6.52)
(2.05, -0.378)
(2.06, -17.232)
(2.06, 8.704)
(2.06, -0.366)
(2.07, -18.187)
(2.07, 6.572)
(2.07, -0.381)
(2.08, -17.355)
(2.08, 8.722)
(2.08, -0.368)
(2.09, -18.29)
(2.09, 6.63)
(2.09, -0.383)
(2.1, -17.483)
(2.1, 8.711)
(2.1, -0.371)
(2.11, -18.388)
(2.11, 6.68)
(2.11, -0.385)
(2.12, -17.595)
(2.12, 8.721)
(2.12, -0.373)
(2.13, -18.484)
(2.13, 6.722)
(2.13, -0.387)
(2.14, -17.698)
(2.14, 8.743)
(2.14, -0.375)
(2.15, -18.575)
(2.15, 6.769)
(2.15, -0.389)
(2.16, -17.804)
(2.16, 8.751)
(2.16, -0.377)
(2.17, -18.662)
(2.17, 6.815)
(2.17, -0.391)
(2.18, -17.906)
(2.18, 8.753)
(2.18, -0.38)
(2.19, -18.744)
(2.19, 6.86)
(2.19, -0.392)
(2.2, -18.005)
(2.2, 8.752)
(2.2, -0.382)
(2.21, -18.821)
(2.21, 6.901)
(2.21, -0.394)
(2.22, -18.097)
(2.22, 8.753)
(2.22, -0.383)
(2.23, -18.895)
(2.23, 6.94)
(2.23, -0.396)
(2.24, -18.185)
(2.24, 8.757)
(2.24, -0.385)
(2.25, -18.966)
(2.25, 6.977)
(2.25, -0.397)
(2.26, -18.268)
(2.26, 8.759)
(2.26, -0.387)
(2.27, -19.029)
(2.27, 7.023)
(2.27, -0.399)
(2.28, -18.356)
(2.28, 8.737)
(2.28, -0.389)
(2.29, -19.08)
(2.29, 7.079)
(2.29, -0.4)
(2.3, -18.445)
(2.3, 8.688)
(2.3, -0.39)
(2.31, -19.121)
(2.31, 7.132)
(2.31, -0.401)
(2.32, -18.528)
(2.32, 8.629)
(2.32, -0.392)
(2.33, -19.147)
(2.33, 7.194)
(2.33, -0.401)
(2.34, -18.6)
(2.34, 8.571)
(2.34, -0.393)
(2.35, -19.161)
(2.35, 7.258)
(2.35, -0.402)
(2.36, -18.675)
(2.36, 8.474)
(2.36, -0.394)
(2.37, -19.156)
(2.37, 7.338)
(2.37, -0.402)
(2.38, -18.748)
(2.38, 8.346)
(2.38, -0.396)
(2.39, -19.131)
(2.39, 7.43)
(2.39, -0.401)
(2.4, -18.812)
(2.4, 8.206)
(2.4, -0.397)
(2.41, -19.094)
(2.41, 7.518)
(2.41, -0.401)
(2.42, -18.859)
(2.42, 8.082)
(2.42, -0.397)
(2.43, -19.052)
(2.43, 7.599)
(2.43, -0.4)
(2.44, -18.895)
(2.44, 7.966)
(2.44, -0.398)
(2.45, -19.017)
(2.45, 7.65)
(2.45, -0.4)
(2.46, -18.908)
(2.46, 7.898)
(2.46, -0.398)
(2.47, -18.988)
(2.47, 7.682)
(2.47, -0.399)
(2.48, -18.907)
(2.48, 7.86)
(2.48, -0.398)
(2.49, -18.963)
(2.49, 7.703)
(2.49, -0.399)
(2.5, -18.903)
(2.5, 7.827)
(2.5, -0.398)
(2.51, -18.941)
(2.51, 7.713)
(2.51, -0.398)
(2.52, -18.895)
(2.52, 7.804)
(2.52, -0.397)
(2.53, -18.92)
(2.53, 7.721)
(2.53, -0.398)
(2.54, -18.886)
(2.54, 7.784)
(2.54, -0.397)
(2.55, -18.9)
(2.55, 7.728)
(2.55, -0.397)
(2.56, -18.875)
(2.56, 7.767)
(2.56, -0.397)
(2.57, -18.881)
(2.57, 7.729)
(2.57, -0.397)
(2.58, -18.862)
(2.58, 7.755)
(2.58, -0.397)
(2.59, -18.865)
(2.59, 7.726)
(2.59, -0.397)
(2.6, -18.848)
(2.6, 7.746)
(2.6, -0.396)
(2.61, -18.849)
(2.61, 7.722)
(2.61, -0.396)
(2.62, -18.833)
(2.62, 7.738)
(2.62, -0.396)
(2.63, -18.833)
(2.63, 7.717)
(2.63, -0.396)
(2.64, -18.818)
(2.64, 7.73)
(2.64, -0.396)
(2.65, -18.817)
(2.65, 7.712)
(2.65, -0.396)
(2.66, -18.803)
(2.66, 7.723)
(2.66, -0.395)
(2.67, -18.801)
(2.67, 7.706)
(2.67, -0.395)
(2.68, -18.789)
(2.68, 7.716)
(2.68, -0.395)
(2.69, -18.786)
(2.69, 7.701)
(2.69, -0.395)
(2.7, -18.773)
(2.7, 7.709)
(2.7, -0.395)
(2.71, -18.77)
(2.71, 7.695)
(2.71, -0.395)
(2.72, -18.758)
(2.72, 7.702)
(2.72, -0.394)
(2.73, -18.755)
(2.73, 7.689)
(2.73, -0.394)
(2.74, -18.743)
(2.74, 7.695)
(2.74, -0.394)
(2.75, -18.739)
(2.75, 7.683)
(2.75, -0.394)
(2.76, -18.728)
(2.76, 7.689)
(2.76, -0.394)
(2.77, -18.724)
(2.77, 7.677)
(2.77, -0.394)
(2.78, -18.713)
(2.78, 7.682)
(2.78, -0.393)
(2.79, -18.708)
(2.79, 7.671)
(2.79, -0.393)
(2.8, -18.698)
(2.8, 7.675)
(2.8, -0.393)
(2.81, -18.693)
(2.81, 7.665)
(2.81, -0.393)
(2.82, -18.683)
(2.82, 7.669)
(2.82, -0.393)
(2.83, -18.678)
(2.83, 7.659)
(2.83, -0.393)
(2.84, -18.667)
(2.84, 7.662)
(2.84, -0.392)
(2.85, -18.662)
(2.85, 7.653)
(2.85, -0.392)
(2.86, -18.652)
(2.86, 7.656)
(2.86, -0.392)
(2.87, -18.647)
(2.87, 7.647)
(2.87, -0.392)
(2.88, -18.637)
(2.88, 7.649)
(2.88, -0.392)
(2.89, -18.632)
(2.89, 7.641)
(2.89, -0.392)
(2.9, -18.622)
(2.9, 7.643)
(2.9, -0.391)
(2.91, -18.616)
(2.91, 7.635)
(2.91, -0.391)
(2.92, -18.606)
(2.92, 7.637)
(2.92, -0.391)
(2.93, -18.601)
(2.93, 7.628)
(2.93, -0.391)
(2.94, -18.591)
(2.94, 7.63)
(2.94, -0.391)
(2.95, -18.585)
(2.95, 7.622)
(2.95, -0.391)
(2.96, -18.576)
(2.96, 7.624)
(2.96, -0.391)
(2.97, -18.57)
(2.97, 7.616)
(2.97, -0.39)
(2.98, -18.561)
(2.98, 7.617)
(2.98, -0.39)
(2.99, -18.555)
(2.99, 7.61)
(2.99, -0.39)
(3.0, -18.545)
(3.0, 7.611)
(3.0, -0.39)
(3.01, -18.539)
(3.01, 7.604)
(3.01, -0.39)
(3.02, -18.53)
(3.02, 7.605)
(3.02, -0.39)
(3.03, -18.524)
(3.03, 7.598)
(3.03, -0.389)
(3.04, -18.515)
(3.04, 7.598)
(3.04, -0.389)
(3.05, -18.509)
(3.05, 7.591)
(3.05, -0.389)
(3.06, -18.5)
(3.06, 7.592)
(3.06, -0.389)
(3.07, -18.493)
(3.07, 7.585)
(3.07, -0.389)
(3.08, -18.484)
(3.08, 7.586)
(3.08, -0.389)
(3.09, -18.478)
(3.09, 7.579)
(3.09, -0.388)
(3.1, -18.469)
(3.1, 7.579)
(3.1, -0.388)
(3.11, -18.463)
(3.11, 7.573)
(3.11, -0.388)
(3.12, -18.454)
(3.12, 7.573)
(3.12, -0.388)
(3.13, -18.448)
(3.13, 7.566)
(3.13, -0.388)
(3.14, -18.438)
(3.14, 7.567)
(3.14, -0.388)
(3.15, -18.432)
(3.15, 7.56)
(3.15, -0.387)
(3.16, -18.423)
(3.16, 7.56)
(3.16, -0.387)
(3.17, -18.417)
(3.17, 7.554)
(3.17, -0.387)
(3.18, -18.408)
(3.18, 7.554)
(3.18, -0.387)
(3.19, -18.402)
(3.19, 7.548)
(3.19, -0.387)
(3.2, -18.393)
(3.2, 7.548)
(3.2, -0.387)
(3.21, -18.386)
(3.21, 7.541)
(3.21, -0.386)
(3.22, -18.377)
(3.22, 7.542)
(3.22, -0.386)
(3.23, -18.371)
(3.23, 7.535)
(3.23, -0.386)
(3.24, -18.362)
(3.24, 7.535)
(3.24, -0.386)
(3.25, -18.356)
(3.25, 7.529)
(3.25, -0.386)
(3.26, -18.347)
(3.26, 7.529)
(3.26, -0.386)
(3.27, -18.34)
(3.27, 7.522)
(3.27, -0.385)
(3.28, -18.331)
(3.28, 7.523)
(3.28, -0.385)
(3.29, -18.325)
(3.29, 7.516)
(3.29, -0.385)
(3.3, -18.316)
(3.3, 7.517)
(3.3, -0.385)
(3.31, -18.31)
(3.31, 7.51)
(3.31, -0.385)
(3.32, -18.301)
(3.32, 7.51)
(3.32, -0.385)
(3.33, -18.294)
(3.33, 7.504)
(3.33, -0.384)
(3.34, -18.285)
(3.34, 7.504)
(3.34, -0.384)
(3.35, -18.279)
(3.35, 7.497)
(3.35, -0.384)
(3.36, -18.27)
(3.36, 7.498)
(3.36, -0.384)
(3.37, -18.264)
(3.37, 7.491)
(3.37, -0.384)
(3.38, -18.255)
(3.38, 7.492)
(3.38, -0.384)
(3.39, -18.249)
(3.39, 7.485)
(3.39, -0.383)
(3.4, -18.239)
(3.4, 7.485)
(3.4, -0.383)
(3.41, -18.233)
(3.41, 7.478)
(3.41, -0.383)
(3.42, -18.224)
(3.42, 7.479)
(3.42, -0.383)
(3.43, -18.218)
(3.43, 7.472)
(3.43, -0.383)
(3.44, -18.209)
(3.44, 7.473)
(3.44, -0.383)
(3.45, -18.203)
(3.45, 7.466)
(3.45, -0.382)
(3.46, -18.193)
(3.46, 7.467)
(3.46, -0.382)
(3.47, -18.188)
(3.47, 7.459)
(3.47, -0.382)
(3.48, -18.178)
(3.48, 7.46)
(3.48, -0.382)
(3.49, -18.172)
(3.49, 7.453)
(3.49, -0.382)
(3.5, -18.163)
(3.5, 7.454)
(3.5, -0.382)
(3.51, -18.157)
(3.51, 7.446)
(3.51, -0.382)
(3.52, -18.147)
(3.52, 7.448)
(3.52, -0.381)
(3.53, -18.142)
(3.53, 7.44)
(3.53, -0.381)
(3.54, -18.132)
(3.54, 7.442)
(3.54, -0.381)
(3.55, -18.126)
(3.55, 7.434)
(3.55, -0.381)
(3.56, -18.117)
(3.56, 7.436)
(3.56, -0.381)
(3.57, -18.111)
(3.57, 7.427)
(3.57, -0.381)
(3.58, -18.101)
(3.58, 7.43)
(3.58, -0.38)
(3.59, -18.096)
(3.59, 7.421)
(3.59, -0.38)
(3.6, -18.086)
(3.6, 7.424)
(3.6, -0.38)
(3.61, -18.081)
(3.61, 7.414)
(3.61, -0.38)
(3.62, -18.071)
(3.62, 7.417)
(3.62, -0.38)
(3.63, -18.065)
(3.63, 7.408)
(3.63, -0.38)
(3.64, -18.055)
(3.64, 7.411)
(3.64, -0.379)
(3.65, -18.05)
(3.65, 7.402)
(3.65, -0.379)
(3.66, -18.04)
(3.66, 7.405)
(3.66, -0.379)
(3.67, -18.035)
(3.67, 7.395)
(3.67, -0.379)
(3.68, -18.024)
(3.68, 7.399)
(3.68, -0.379)
(3.69, -18.02)
(3.69, 7.389)
(3.69, -0.379)
(3.7, -18.009)
(3.7, 7.393)
(3.7, -0.378)
(3.71, -18.005)
(3.71, 7.382)
(3.71, -0.378)
(3.72, -17.994)
(3.72, 7.387)
(3.72, -0.378)
(3.73, -17.989)
(3.73, 7.376)
(3.73, -0.378)
(3.74, -17.978)
(3.74, 7.381)
(3.74, -0.378)
(3.75, -17.974)
(3.75, 7.369)
(3.75, -0.378)
(3.76, -17.963)
(3.76, 7.375)
(3.76, -0.377)
(3.77, -17.959)
(3.77, 7.362)
(3.77, -0.377)
(3.78, -17.947)
(3.78, 7.369)
(3.78, -0.377)
(3.79, -17.944)
(3.79, 7.356)
(3.79, -0.377)
(3.8, -17.932)
(3.8, 7.363)
(3.8, -0.377)
(3.81, -17.929)
(3.81, 7.349)
(3.81, -0.377)
(3.82, -17.916)
(3.82, 7.358)
(3.82, -0.376)
(3.83, -17.914)
(3.83, 7.343)
(3.83, -0.376)
(3.84, -17.901)
(3.84, 7.352)
(3.84, -0.376)
(3.85, -17.898)
(3.85, 7.336)
(3.85, -0.376)
(3.86, -17.885)
(3.86, 7.346)
(3.86, -0.376)
(3.87, -17.883)
(3.87, 7.329)
(3.87, -0.376)
(3.88, -17.87)
(3.88, 7.34)
(3.88, -0.375)
(3.89, -17.868)
(3.89, 7.323)
(3.89, -0.375)
(3.9, -17.854)
(3.9, 7.334)
(3.9, -0.375)
(3.91, -17.853)
(3.91, 7.316)
(3.91, -0.375)
(3.92, -17.839)
(3.92, 7.328)
(3.92, -0.375)
(3.93, -17.838)
(3.93, 7.309)
(3.93, -0.375)
(3.94, -17.823)
(3.94, 7.323)
(3.94, -0.374)
(3.95, -17.823)
(3.95, 7.302)
(3.95, -0.374)
(3.96, -17.808)
(3.96, 7.317)
(3.96, -0.374)
(3.97, -17.808)
(3.97, 7.296)
(3.97, -0.374)
(3.98, -17.792)
(3.98, 7.311)
(3.98, -0.374)
(3.99, -17.793)
(3.99, 7.289)
(3.99, -0.374)
(4.0, -17.777)
(4.0, 7.305)
(4.0, -0.373)
(4.01, -17.777)
(4.01, 7.282)
(4.01, -0.373)
(4.02, -17.761)
(4.02, 7.299)
(4.02, -0.373)
(4.03, -17.762)
(4.03, 7.276)
(4.03, -0.373)
(4.04, -17.746)
(4.04, 7.294)
(4.04, -0.373)
(4.05, -17.747)
(4.05, 7.269)
(4.05, -0.373)
(4.06, -17.731)
(4.06, 7.288)
(4.06, -0.372)
(4.07, -17.732)
(4.07, 7.262)
(4.07, -0.372)
(4.08, -17.715)
(4.08, 7.282)
(4.08, -0.372)
(4.09, -17.717)
(4.09, 7.256)
(4.09, -0.372)
(4.1, -17.7)
(4.1, 7.276)
(4.1, -0.372)
(4.11, -17.702)
(4.11, 7.249)
(4.11, -0.372)
(4.12, -17.684)
(4.12, 7.27)
(4.12, -0.371)
(4.13, -17.686)
(4.13, 7.243)
(4.13, -0.371)
(4.14, -17.669)
(4.14, 7.264)
(4.14, -0.371)
(4.15, -17.671)
(4.15, 7.236)
(4.15, -0.371)
(4.16, -17.653)
(4.16, 7.258)
(4.16, -0.371)
(4.17, -17.656)
(4.17, 7.23)
(4.17, -0.371)
(4.18, -17.638)
(4.18, 7.252)
(4.18, -0.37)
(4.19, -17.641)
(4.19, 7.223)
(4.19, -0.37)
(4.2, -17.623)
(4.2, 7.246)
(4.2, -0.37)
(4.21, -17.626)
(4.21, 7.217)
(4.21, -0.37)
(4.22, -17.607)
(4.22, 7.24)
(4.22, -0.37)
(4.23, -17.611)
(4.23, 7.21)
(4.23, -0.37)
